34:fc:b9:26:70:a0;1355;170
c8:b5:ad:69:3b:80;735;135
c8:b5:ad:69:3e:e0;420;230
34:fc:b9:26:71:00;650;900
c8:b5:ad:69:29:00;960;905
c8:b5:ad:69:3a:20;1400;910
18:64:72:d1:c3:00;785;670
34:fc:b9:26:70:b0;1356;171
c8:b5:ad:69:3b:90;736;136
c8:b5:ad:69:3e:f0;421;231
34:fc:b9:26:71:10;651;901
c8:b5:ad:69:29:10;961;906
c8:b5:ad:69:3a:30;1401;911
18:64:72:d1:c3:10;786;671
34:fc:b9:26:70:a1;1357;172
c8:b5:ad:69:3b:81;737;137
c8:b5:ad:69:3e:e1;422;232
34:fc:b9:26:71:01;652;902
c8:b5:ad:69:29:01;962;907
c8:b5:ad:69:3a:21;1402;912
18:64:72:d1:c3:01;787;672
34:fc:b9:26:70:b1;1354;169
c8:b5:ad:69:3b:91;734;134
c8:b5:ad:69:3e:f1;419;229
34:fc:b9:26:71:11;649;899
c8:b5:ad:69:29:11;959;904
c8:b5:ad:69:3a:31;1399;909
18:64:72:d1:c3:11;784;669
48:7d:2e:76:f3:61;810;220
48:7d:2e:76:f3:63;811;221
